round,samples,train_loss,test_loss,test_acc,wall_clock,active_workers,bytes_in,mean_staleness,round_seconds,barrier_wait
156,9984,1.24837,1.29414,0.6615,0.3389,2,19673580,0.0,0.00683,0.00031
157,10000,1.20273,1.29414,0.6615,0.3399,2,19799692,0.0,0.00098,0.00037
158,10032,1.16682,1.29414,0.6615,0.3439,1,19862748,0.0,0.004,0.00304
159,10064,1.03866,1.29414,0.6615,0.345,1,19925804,0.0,0.00114,0.00018
160,10096,1.00857,1.28344,0.6485,0.346,1,19988860,0.0,0.00104,0.00019
161,10128,1.05428,1.28344,0.6485,0.3536,1,20051916,0.0,0.00752,0.00025
162,10160,1.09802,1.28344,0.6485,0.3546,1,20114972,0.0,0.00105,0.00019
163,10192,1.01006,1.28344,0.6485,0.3556,1,20178028,0.0,0.00098,0.00018
164,10224,1.11847,1.28344,0.6485,0.3565,1,20241084,0.0,0.00095,0.00018
165,10256,1.0495,1.27451,0.648,0.3575,1,20304140,0.0,0.00095,0.00018
166,10288,0.94383,1.27451,0.648,0.3645,1,20367196,0.0,0.00697,0.00022
167,10320,1.1948,1.27451,0.648,0.3656,1,20430252,0.0,0.00113,0.00019
168,10352,1.10702,1.27451,0.648,0.3666,1,20493308,0.0,0.00099,0.00018
169,10384,1.11172,1.27451,0.648,0.3675,1,20556364,0.0,0.00096,0.00018
170,10416,1.0752,1.2684,0.6495,0.3685,1,20619420,0.0,0.00095,0.00018
171,10448,1.11472,1.2684,0.6495,0.3756,1,20682476,0.0,0.00714,0.00017
172,10480,1.10173,1.2684,0.6495,0.3763,1,20745532,0.0,0.00067,0.00011
173,10512,1.02167,1.2684,0.6495,0.3768,1,20808588,0.0,0.00052,9e-05
174,10544,1.15353,1.2684,0.6495,0.3774,1,20871644,0.0,0.00057,0.00015
175,10576,1.11788,1.26438,0.635,0.3781,1,20934700,0.0,0.00066,0.00014
176,10608,1.0737,1.26438,0.635,0.3835,1,20997756,0.0,0.00543,0.00013
177,10640,1.15974,1.26438,0.635,0.3841,1,21060812,0.0,0.0006,0.0001
178,10672,0.99057,1.26438,0.635,0.3846,1,21123868,0.0,0.00054,0.00011
179,10704,1.11721,1.26438,0.635,0.3851,1,21186924,0.0,0.00051,9e-05
180,10736,1.04738,1.25747,0.6325,0.3856,1,21249980,0.0,0.00048,0.0001
181,10768,1.22338,1.25747,0.6325,0.3931,1,21313036,0.0,0.00751,0.0002
182,10800,1.17848,1.25747,0.6325,0.3941,1,21376092,0.0,0.00092,0.00017
183,10832,1.40889,1.25747,0.6325,0.395,1,21439148,0.0,0.00091,0.00017
184,10864,1.04607,1.25747,0.6325,0.3959,1,21502204,0.0,0.00089,0.00017
185,10896,0.96309,1.24925,0.6225,0.3968,1,21565260,0.0,0.0009,0.00017
186,10928,1.13604,1.24925,0.6225,0.4066,1,21628316,0.0,0.00986,0.0002
187,10960,0.93891,1.24925,0.6225,0.4076,1,21691372,0.0,0.00094,0.00017
188,10992,0.93591,1.24925,0.6225,0.4085,1,21754428,0.0,0.00094,0.00017
189,11024,0.92784,1.24925,0.6225,0.4094,1,21817484,0.0,0.00091,0.00017
190,11056,0.96851,1.24138,0.634,0.4103,1,21880540,0.0,0.00092,0.00019
191,11088,1.06858,1.24138,0.634,0.4193,1,21943596,0.0,0.00896,0.0002
192,11120,1.06978,1.24138,0.634,0.4202,1,22006652,0.0,0.00093,0.00018
193,11152,1.04538,1.24138,0.634,0.4212,1,22069708,0.0,0.00099,0.00017
194,11184,1.0291,1.24138,0.634,0.4221,1,22132764,0.0,0.0009,0.00017
195,11216,1.05374,1.2314,0.63,0.4231,1,22195820,0.0,0.00095,0.00017
196,11248,1.03237,1.2314,0.63,0.4315,1,22258876,0.0,0.00839,0.00023
197,11280,0.95785,1.2314,0.63,0.4326,1,22321932,0.0,0.00111,0.00019
198,11312,0.95137,1.2314,0.63,0.4335,1,22384988,0.0,0.00095,0.00018
199,11344,1.22516,1.2314,0.63,0.4344,1,22448044,0.0,0.00092,0.00018
200,11376,1.22637,1.22747,0.626,0.4354,1,22511100,0.0,0.00093,0.00017
201,11408,1.25562,1.22747,0.626,0.444,1,22574156,0.0,0.00868,0.00024
202,11440,0.92298,1.22747,0.626,0.445,1,22637212,0.0,0.00096,0.00019
203,11472,1.02939,1.22747,0.626,0.4459,1,22700268,0.0,0.00093,0.00018
204,11504,0.98505,1.22747,0.626,0.4481,1,22763324,0.0,0.00211,0.00124
205,11536,1.05455,1.21849,0.624,0.4491,1,22826380,0.0,0.001,0.00019
206,11568,1.14036,1.21849,0.624,0.4575,1,22889436,0.0,0.00847,0.0002
207,11600,0.92727,1.21849,0.624,0.4585,1,22952492,0.0,0.00093,0.00017
208,11632,0.9321,1.21849,0.624,0.4594,1,23015548,0.0,0.00092,0.00017
209,11664,1.11817,1.21849,0.624,0.4603,1,23078604,0.0,0.0009,0.00017
210,11696,1.14607,1.21119,0.6305,0.4612,1,23141660,0.0,0.00091,0.00018
211,11728,1.04796,1.21119,0.6305,0.4704,1,23204716,0.0,0.00926,0.0002
212,11760,1.094,1.21119,0.6305,0.4714,1,23267772,0.0,0.00094,0.00018
213,11792,1.02723,1.21119,0.6305,0.4723,1,23330828,0.0,0.00091,0.00017
214,11824,0.92279,1.21119,0.6305,0.4734,1,23393884,0.0,0.00107,0.00019
215,11856,1.05078,1.20547,0.6305,0.4743,1,23456940,0.0,0.00093,0.00018
216,11888,0.8444,1.20547,0.6305,0.4818,1,23519996,0.0,0.00752,0.00027
217,11920,0.96194,1.20547,0.6305,0.4828,1,23583052,0.0,0.00098,0.00018
218,11952,1.0348,1.20547,0.6305,0.4838,1,23646108,0.0,0.00097,0.00018
219,11984,0.91451,1.20547,0.6305,0.4847,1,23709164,0.0,0.00094,0.00018
220,12016,1.25943,1.20246,0.6335,0.4856,1,23772220,0.0,0.00095,0.00018
221,12048,0.7056,1.20246,0.6335,0.4939,1,23835276,0.0,0.00828,0.0002
222,12080,0.92818,1.20246,0.6335,0.4948,1,23898332,0.0,0.00093,0.00017
223,12112,1.08842,1.20246,0.6335,0.4958,1,23961388,0.0,0.00092,0.00017
224,12144,0.98122,1.20246,0.6335,0.4967,1,24024444,0.0,0.0009,0.00017
225,12176,1.08082,1.19284,0.626,0.4976,1,24087500,0.0,0.00095,0.00017
226,12208,1.20597,1.19284,0.626,0.5063,1,24150556,0.0,0.00871,0.0002
227,12240,0.91037,1.19284,0.626,0.5073,1,24213612,0.0,0.00095,0.00019
228,12272,0.9891,1.19284,0.626,0.5082,1,24276668,0.0,0.00092,0.00017
229,12304,0.88004,1.19284,0.626,0.5091,1,24339724,0.0,0.00093,0.00018
230,12336,0.99168,1.18418,0.6245,0.5101,1,24402780,0.0,0.00095,0.00018
231,12368,1.20799,1.18418,0.6245,0.5183,1,24465836,0.0,0.00823,0.00021
232,12400,0.92668,1.18418,0.6245,0.5193,1,24528892,0.0,0.00096,0.00018
233,12432,1.03787,1.18418,0.6245,0.5202,1,24591948,0.0,0.00092,0.00017
234,12464,0.92143,1.18418,0.6245,0.5211,1,24655004,0.0,0.00092,0.00017
235,12496,1.00681,1.17745,0.6275,0.522,1,24718060,0.0,0.0009,0.00017
236,12528,1.08572,1.17745,0.6275,0.5306,1,24781116,0.0,0.00857,0.0002
237,12560,1.11677,1.17745,0.6275,0.5317,1,24844172,0.0,0.00113,0.00029
238,12592,1.12163,1.17745,0.6275,0.533,1,24907228,0.0,0.00128,0.00022
239,12624,1.04273,1.17745,0.6275,0.534,1,24970284,0.0,0.00104,0.00018
240,12656,1.22792,1.16785,0.628,0.535,1,25033340,0.0,0.00095,0.00019
241,12688,0.86207,1.16785,0.628,0.5423,1,25096396,0.0,0.00737,0.00022
242,12720,1.18846,1.16785,0.628,0.5433,1,25159452,0.0,0.00094,0.00018
243,12752,0.93153,1.16785,0.628,0.5442,1,25222508,0.0,0.00094,0.00018
244,12784,0.98598,1.16785,0.628,0.5451,1,25285564,0.0,0.00091,0.00017
245,12816,1.01716,1.16507,0.623,0.546,1,25348620,0.0,0.00092,0.00017
246,12848,1.01876,1.16507,0.623,0.553,1,25411676,0.0,0.00692,0.00022
247,12880,0.98191,1.16507,0.623,0.5539,1,25474732,0.0,0.00096,0.00018
248,12912,0.90839,1.16507,0.623,0.5549,1,25537788,0.0,0.00094,0.00018
249,12944,1.03992,1.16507,0.623,0.5559,1,25600844,0.0,0.00103,0.00018
250,12976,0.97486,1.15795,0.625,0.5568,1,25663900,0.0,0.00093,0.00017
251,13008,1.09883,1.15795,0.625,0.5636,1,25726956,0.0,0.00675,0.00024
252,13040,1.05227,1.15795,0.625,0.5646,1,25790012,0.0,0.00108,0.00026
253,13072,0.99377,1.15795,0.625,0.5658,1,25853068,0.0,0.00114,0.0002
254,13104,1.02065,1.15795,0.625,0.5669,1,25916124,0.0,0.00112,0.00018
